marketing_area,Restaurant,Pastry,Meat Shop,Ice Cream and Juice Shop,Fruit Shop,Cafe,Bakery
قاسم آباد-کشاورزی,50,50,50,50,50,50,50
شیرازی,50,50,50,50,50,50,50
فلسطین-ملک آباد,50,50,50,50,50,50,50
وکیل آباد شمالی,50,50,50,50,50,50,50
وکیل آباد جنوبی,50,50,50,50,50,50,50
هشتصدمتریها,50,50,50,50,50,50,50
طرقبه,50,50,50,50,50,50,50
شاندیز,50,50,50,50,50,50,50
فرامرز-تورج,50,50,50,50,50,50,50
امام رضا,50,50,50,50,50,50,50
فرودگاه,50,50,50,50,50,50,50
خواجه ربیع-میامی,50,50,50,50,50,50,50
مطهری-آزادی,50,50,50,50,50,50,50
طوس,50,50,50,50,50,50,50
طبرسی,50,50,50,50,50,50,50
