vendor_code,vendor_name,city_id,business_line,grade
5wn6o2,میوه وارلی ,1,Fruit Shop,A
2k3oog, نان مهربانی,1,Bakery,Not Enough Comments
56969l,نان ارسلان,1,Bakery,Not Enough Comments
2ox147,نان ستاره,1,Bakery,Not Enough Comments
2x7kxy,نان و شیرینی بوی گندم,1,Bakery,Not Enough Comments
5wn7g2,نان گندم,1,Bakery,Not Enough Comments
58n1z5,پروتئین سعید,1,Meat Shop,A
2rwyr8,گندم جان ,1,Bakery,Not Enough Comments
2kl677,گلنان,1,Bakery,Not Enough Comments
5p3gxw,نان بهار,1,Bakery,Not Enough Comments
5myk7y,گوشت رقابت,1,Meat Shop,A
5k63yy,نان بربری رسول ,1,Bakery,Not Enough Comments
277w99,ساندویچ بانو,1,Restaurant,A
5nl38w,رستوران مینا,1,Restaurant,A
5n4gl5,رستوران ایرانی رخ,1,Restaurant,A
2rwwxg,نان مهدی,1,Bakery,Not Enough Comments
2lwzop,نان حجت,1,Bakery,Not Enough Comments
2llwo2,کباب و حلیم بهارستان,1,Restaurant,A
28p4wz,مجتمع نانکده,1,Bakery,Not Enough Comments
2llxkg,نان تنوری علیرضا,1,Bakery,Not Enough Comments
2zk1w7,مجتمع نان آریا,1,Bakery,Not Enough Comments
5yol8k,کترینگ سرو,1,Restaurant,A
5r9zl4,فست فود رنجبر ,1,Restaurant,A
5rk482,نان فانتزی هانان,1,Bakery,Not Enough Comments
269wp8,نانوایی سنگکی جردن آزاد پز,1,Bakery,Not Enough Comments
2mpgz5,پالما کافه,1,Cafe,Not Enough Comments
2nkk36,کافه رستوران سنترال,1,Cafe,Not Enough Comments
5kk985,کافه راه,1,Cafe,Not Enough Comments
5w3gwp,تی شاپ,1,Cafe,Not Enough Comments
2x3px5,کافه اسپرسو,1,Cafe,Not Enough Comments
2zlgg8,قهوه رایکا,1,Cafe,Not Enough Comments
5wgy45,کافه طهرون,1,Cafe,Not Enough Comments
2944o9,قهوه هانیس,1,Cafe,Not Enough Comments
28pmxo,های کافه,1,Cafe,Not Enough Comments
5gwow5,کافه ویان ,1,Cafe,Not Enough Comments
59nzg7,مستر کافه,1,Cafe,Not Enough Comments
5nkz93,کافه نیل ,1,Cafe,Not Enough Comments
57mxrw,کافه آلا,1,Cafe,Not Enough Comments
5p3ok3,گلوژ,1,Cafe,Not Enough Comments
286knw,میم,1,Cafe,Not Enough Comments
5x76p1,دابل کافی,1,Cafe,Not Enough Comments
5r9m1p,کافه قهوه چیان,1,Cafe,Not Enough Comments
5x79y3,کافه بیکری لوچی,1,Cafe,Not Enough Comments
5yk9z5,کافه دون سیاه,1,Cafe,Not Enough Comments
2mmxpz,کافه تایم ,1,Cafe,Not Enough Comments
2p8wyn,قهوه لمیزان,1,Cafe,Not Enough Comments
2z6y32,کافه رستوران آلادل,1,Cafe,Not Enough Comments
2x3kx5,کافه طاها,1,Cafe,Not Enough Comments
2376g2,قهوه آنیسا,1,Cafe,Not Enough Comments
2klw8m,کافه این,1,Cafe,Not Enough Comments
58p6px,کافه لیلیوم,1,Cafe,Not Enough Comments
26mgo5,کافی شاپ اصیل,1,Cafe,Not Enough Comments
51o1zo,کافه لارا,1,Cafe,Not Enough Comments
2x7nkx,ویتا,1,Cafe,Not Enough Comments
24nmgz,کافی شاپ فیکا,1,Cafe,Not Enough Comments
59nz3m,قهوه تخصصی آریان,1,Cafe,Not Enough Comments
57mkow,کافه دسر دیار,1,Cafe,Not Enough Comments
2yoym3,کافی شاپ اکسیر,1,Cafe,Not Enough Comments
5p4x15,ابری ,1,Cafe,Not Enough Comments
2lz3pn,کافه هیچ,1,Cafe,Not Enough Comments
2x44zl,کافه تین ,1,Cafe,Not Enough Comments
2x6yr2,کافه روناک,1,Cafe,Not Enough Comments
5w118z,مارلیک,1,Cafe,Not Enough Comments
2gx9n9,کافه بامبو,1,Cafe,Not Enough Comments
